================================================================================
 case4                                                                                               
 Short sim name = case4           
================================================================================
    t-t0    NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          C5H8          MACR          MVK     
   120.0  0.366751E+00  0.717582E+00  0.403667E+02  0.886760E+07  0.320587E+09  0.999950E+02  0.998617E+00  0.479776E-02  0.559108E+00  0.921359E+00  0.314622E-01  0.226359E-01
   130.0  0.365425E+00  0.717158E+00  0.403827E+02  0.918819E+07  0.336250E+09  0.999941E+02  0.998542E+00  0.538680E-02  0.568013E+00  0.911646E+00  0.358980E-01  0.258592E-01
   140.0  0.363516E+00  0.717290E+00  0.403991E+02  0.946489E+07  0.350075E+09  0.999932E+02  0.998479E+00  0.599912E-02  0.577228E+00  0.901688E+00  0.404591E-01  0.291801E-01
   150.0  0.361362E+00  0.717654E+00  0.404156E+02  0.971773E+07  0.362855E+09  0.999923E+02  0.998423E+00  0.662465E-02  0.586604E+00  0.891605E+00  0.450832E-01  0.325509E-01
   160.0  0.359009E+00  0.718195E+00  0.404325E+02  0.993656E+07  0.374039E+09  0.999914E+02  0.998377E+00  0.727030E-02  0.596189E+00  0.881367E+00  0.497819E-01  0.359836E-01
   170.0  0.356602E+00  0.718777E+00  0.404498E+02  0.101345E+08  0.384175E+09  0.999905E+02  0.998339E+00  0.792921E-02  0.605895E+00  0.871044E+00  0.545194E-01  0.394500E-01
   180.0  0.354202E+00  0.719343E+00  0.404673E+02  0.103181E+08  0.393559E+09  0.999896E+02  0.998306E+00  0.859767E-02  0.615672E+00  0.860672E+00  0.592762E-01  0.429351E-01
   190.0  0.351851E+00  0.719849E+00  0.404852E+02  0.104837E+08  0.401942E+09  0.999886E+02  0.998281E+00  0.927890E-02  0.625530E+00  0.850251E+00  0.640503E-01  0.464394E-01
   200.0  0.349570E+00  0.720275E+00  0.405033E+02  0.106366E+08  0.409567E+09  0.999877E+02  0.998262E+00  0.996989E-02  0.635435E+00  0.839806E+00  0.688285E-01  0.499524E-01
   210.0  0.347402E+00  0.720577E+00  0.405219E+02  0.107757E+08  0.416333E+09  0.999868E+02  0.998249E+00  0.106721E-01  0.645375E+00  0.829350E+00  0.736002E-01  0.534679E-01
   220.0  0.345368E+00  0.720733E+00  0.405407E+02  0.109029E+08  0.422289E+09  0.999858E+02  0.998243E+00  0.113851E-01  0.655328E+00  0.818904E+00  0.783525E-01  0.569773E-01
   230.0  0.343398E+00  0.720821E+00  0.405597E+02  0.110252E+08  0.427909E+09  0.999849E+02  0.998239E+00  0.121026E-01  0.665280E+00  0.808468E+00  0.830923E-01  0.604813E-01
   240.0  0.341545E+00  0.720784E+00  0.405790E+02  0.111394E+08  0.432938E+09  0.999840E+02  0.998240E+00  0.128284E-01  0.675223E+00  0.798057E+00  0.878063E-01  0.639732E-01
   250.0  0.339834E+00  0.720593E+00  0.405985E+02  0.112451E+08  0.437324E+09  0.999831E+02  0.998246E+00  0.135633E-01  0.685129E+00  0.787699E+00  0.924748E-01  0.674409E-01
   260.0  0.338242E+00  0.720273E+00  0.406182E+02  0.113441E+08  0.441191E+09  0.999821E+02  0.998256E+00  0.143058E-01  0.694993E+00  0.777394E+00  0.970979E-01  0.708832E-01
   270.0  0.336740E+00  0.719853E+00  0.406380E+02  0.114384E+08  0.444682E+09  0.999812E+02  0.998269E+00  0.150542E-01  0.704811E+00  0.767146E+00  0.101677E+00  0.743003E-01
   280.0  0.335323E+00  0.719340E+00  0.406579E+02  0.115286E+08  0.447830E+09  0.999804E+02  0.998284E+00  0.158080E-01  0.714575E+00  0.756958E+00  0.106209E+00  0.776897E-01
   290.0  0.333982E+00  0.718741E+00  0.406780E+02  0.116152E+08  0.450670E+09  0.999795E+02  0.998301E+00  0.165670E-01  0.724279E+00  0.746836E+00  0.110691E+00  0.810494E-01
   300.0  0.332712E+00  0.718063E+00  0.406981E+02  0.116986E+08  0.453232E+09  0.999786E+02  0.998321E+00  0.173308E-01  0.733919E+00  0.736785E+00  0.115120E+00  0.843775E-01
